@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.502655,16.033145,0.697115,0.83913,0.000031,notBlood
1,0.623126,1.699673,0.694712,0.857971,0.000021,notBlood
1,0.436332,2.154066,0.706731,0.756522,0.000017,notBlood
1,0.441786,8.137704,0.737981,0.755072,0.000031,notBlood
1,0.556958,1.111024,0.745192,0.856522,0.000056,notBlood
1,0.436332,1.2,0.752404,0.76087,0.000017,notBlood
0.86,0.266407,1.936698,0.800481,0.865217,0.000184,notBlood
1,0.371786,25.829199,0.793269,0.66087,0.000069,notBlood
1,0.436332,2.135416,0.819712,0.756522,0.000017,notBlood
1,0.282743,1.987616,0.826923,0.76087,0.000031,notBlood
1,0.775702,10.225458,0.824519,0.634783,0.000017,notBlood
1,0.72698,5.823948,0.824519,0.83913,0.000024,notBlood
1,0.830834,1.053269,0.826923,0.857971,0.000028,notBlood
1,0.276973,16.163601,0.862981,0.837681,0.000094,notBlood
1,0.310281,2.204399,0.855769,0.76087,0.000028,notBlood
1,0.436332,2.727636,0.884615,0.755072,0.000017,notBlood
1,0.436332,4.127953,0.894231,0.017391,0.000017,notBlood
1,0.223072,1.977302,0.918269,0.755072,0.000042,notBlood
1,0.436332,3.006659,0.927885,0.75942,0.000017,notBlood
1,0.384685,1.374369,0.942308,0.753623,0.000021,notBlood
1,0.195477,3.130658,0.983173,0.753623,0.000049,notBlood
1,0.392699,3.887078,0.447703,0.526882,0.000008,notBlood
1,0.446143,2.43242,0.4565,0.527859,0.000006,notBlood
1,0.594858,2.260393,0.505376,0.257087,0.000008,notBlood
0.9,0.628319,4.97996,0.514174,0.305963,0.000005,notBlood
1,0.628319,4.409082,0.525904,0.356794,0.000005,notBlood
0.777778,0.465421,10.735132,0.529814,0.671554,0.000011,notBlood
1,0.384685,0,0.529814,0.927664,0.000006,notBlood
0.928571,0.384685,8.568353,0.538612,0.685239,0.000023,notBlood
1,0.753982,2.733537,0.542522,0.659824,0.000006,notBlood
1,0.824354,11.107554,0.546432,0.680352,0.000039,notBlood
0.782051,0.185893,8.399067,0.55523,0.695992,0.000086,notBlood
1,0.519272,3.826225,0.55132,0.651026,0.000005,notBlood
1,0.665139,7.779814,0.55914,0.702835,0.000027,notBlood
1,0.436332,5.344156,0.580645,0.537634,0.000005,notBlood
1,0.837758,5.56976,0.591398,0.638319,0.000014,notBlood
1,0.775702,1.854724,0.59042,0.648094,0.000005,notBlood
1,0.698132,5.074446,0.595308,0.665689,0.000008,notBlood
1,0.519272,5.966574,0.603128,0.648094,0.000005,notBlood
1,0.520501,3.60272,0.605083,0.333333,0.000007,notBlood
0.971429,0.759111,21.146352,0.624633,0.773216,0.000071,notBlood
1,0.775702,1.854724,0.625611,0.967742,0.000005,notBlood
0.894737,0.452529,1.277942,0.626588,0.985337,0.000012,notBlood
0.668067,0.329001,7.582985,0.652981,0.981427,0.001414,notBlood
1,0.72698,0.699854,0.631476,0.999022,0.000007,notBlood
1,0.817929,3.62042,0.639296,0.773216,0.00001,notBlood
0.947368,0.530851,10.746199,0.669599,0.787879,0.000058,notBlood
1,0.934689,3.614101,0.681329,0.989247,0.000009,notBlood
