@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
0.862069,0.313786,14.753761,0.706203,0.373925,0.000007,notBlood
0.894737,0.626578,12.504444,0.705707,0.379219,0.000006,notBlood
0.740741,0.327519,10.91214,0.7067,0.34679,0.000006,notBlood
1,0.623126,2.426703,0.705211,0.679682,0.000002,notBlood
1,0.753982,10.79609,0.706203,0.090007,0.000002,notBlood
0.882353,0.250023,9.293777,0.708685,0.320318,0.000008,notBlood
0.777778,0.203622,16.807837,0.707692,0.327598,0.000007,notBlood
0.882353,0.239152,10.77685,0.708189,0.338187,0.000007,notBlood
0.884615,0.353197,15.631668,0.708189,0.342819,0.000006,notBlood
1,0.594858,2.97647,0.7067,0.037062,0.000003,notBlood
0.818182,0.276945,8.753472,0.708189,0.313038,0.000008,notBlood
1,0.623126,7.033649,0.7067,0.324289,0.000002,notBlood
0.875,0.441786,9.534861,0.707692,0.350761,0.000003,notBlood
1,0.313289,10.198039,0.707692,0.389146,0.000003,notBlood
1,0.285599,10.366826,0.708685,0.293845,0.000004,notBlood
1,0.753982,10.739336,0.707196,0.309067,0.000002,notBlood
0.923077,0.380048,6.064867,0.709181,0.722038,0.000015,notBlood
0.697674,0.237871,1.803851,0.707692,0.85043,0.000011,notBlood
0.909091,0.623126,1.607275,0.707692,0.086698,0.000002,notBlood
0.925926,0.344756,7.518477,0.708685,0.276638,0.000007,notBlood
1,0.785398,8.166478,0.707692,0.644606,0.000003,notBlood
1,0.326909,3.402587,0.709677,0.031105,0.000008,notBlood
0.809524,0.192342,15.41613,0.709677,0.250827,0.000009,notBlood
0.869565,0.522609,14.612982,0.708685,0.256122,0.000007,notBlood
0.74359,0.264381,14.04565,0.709677,0.260754,0.00001,notBlood
1,0.348099,5.385165,0.708685,0.266049,0.000003,notBlood
0.941176,0.434823,6.636264,0.708685,0.271343,0.000003,notBlood
1,0.753982,2.967416,0.708189,0.285903,0.000002,notBlood
1,0.384685,3.872983,0.708685,0.303111,0.000002,notBlood
1,0.785398,9.854497,0.708189,0.376572,0.000003,notBlood
0.815789,0.217562,11.219697,0.71067,0.242886,0.000008,notBlood
1,0.879646,2.821203,0.708189,0.674388,0.000002,notBlood
0.794118,0.347858,9.212551,0.709677,0.699537,0.00001,notBlood
1,0.753982,7.522189,0.709181,0.239576,0.000002,notBlood
0.814815,0.293043,7.803865,0.712159,0.704169,0.000022,notBlood
1,0.775702,0.748331,0.708685,0.858372,0.000002,notBlood
1,0.775702,2.416609,0.709181,0.083388,0.000002,notBlood
0.941176,0.478305,12.062509,0.709677,0.281932,0.000004,notBlood
1,0.523599,10.699169,0.710174,0.289212,0.000002,notBlood
0.928571,0.448799,7.567384,0.709677,0.35407,0.000002,notBlood
0.785714,0.416742,7.026998,0.711166,0.642621,0.000009,notBlood
1,0.753982,2.134375,0.710174,0.64593,0.000002,notBlood
